sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,42,2322,44000.0,0.0,19.0,19.0,0.0,18.94918251,0,13,2
1,40,2151,53810.0,0.0,15.0,12.0,3.0,25.01627159,2,0,3
1,29,2900,35000.0,0.0,10.0,9.0,1.0,12.06896591,2,16,1
1,29,1960,26000.0,0.0,10.0,10.0,0.0,13.26530647,2,5,1
1,27,1920,9808.0,0.0,8.0,4.0,4.0,5.108333111,2,5,1
1,40,2322,68000.0,2.0,21.0,14.0,7.0,29.28509903,2,12,0
1,39,2064,36000.0,0.0,15.0,11.0,4.0,17.4418602,2,20,2
1,42,2010,60000.0,0.0,19.0,16.0,3.0,29.85074615,2,15,1
1,38,1870,32000.0,0.0,20.0,19.0,1.0,17.11229897,2,16,1
1,32,2040,51000.0,0.0,10.0,8.0,2.0,25.0,2,20,2
1,34,2615,30500.0,0.0,12.0,8.0,4.0,11.6634798,0,20,2
1,33,2650,35000.0,0.0,15.0,15.0,0.0,13.20754719,2,13,0
1,28,2056,36000.0,1.0,7.0,5.0,2.0,17.50972748,2,0,2
